GENERIC NAME,CONDITION,SOURCE,DESTINATION
minocycline,Acne,Ernakulam,Idukki
sertraline,Depression,Kozhikode,Kannur
lisinopril,Hypertension,Kasargod,Ernakulam
elvitegravir,AIDS/HIV,Palakkad,Kasargod
triamcinolone,Hair Loss,Thiruvananthapuram,Wayanad
lidocaine topical,Gastrointestinal,Pathanamthitta,Kasargod
emtricitabine,AIDS/HIV,Aleppey,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,Thrissur
bupropion,Depression,Thiruvananthapuram,Ernakulam
diphenhydramine,Cold,Kozhikode,Palakkad
minoxidil topical,Hair Loss,Kollam,Aleppey
spironolactone,Acne,Thiruvananthapuram,Kollam
alvimopan,Gastrointestinal,Kottayam,Ernakulam
sertraline,Depression,Kozhikode,Wayanad
chlorpheniramine,Cold,Kasargod,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,Kollam
elvitegravir,AIDS/HIV,Palakkad,Malappuram
lidocaine topical,Gastrointestinal,Pathanamthitta,Kasargod
duloxetine,Depression,Kollam,Ernakulam
minoxidil topical,Hair Loss,Kollam,Kasargod
emtricitabine,AIDS/HIV,Aleppey,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,Ernakulam
minoxidil topical,Hair Loss,Kollam,Aleppey
bupropion,Depression,Thiruvananthapuram,Thrissur
spironolactone,Acne,Thiruvananthapuram,Aleppey
rizatriptan,Migraine,Palakkad,Kannur
elvitegravir,AIDS/HIV,Palakkad,Kozhikode
alvimopan,Gastrointestinal,Kottayam,Ernakulam
chlorpheniramine,Cold,Kasargod,Thiruvananthapuram
rizatriptan,Migraine,Palakkad,Kannur
sertraline,Depression,Kozhikode,Kannur
eletriptan,Migraine,Wayanad,Kollam
emtricitabine,AIDS/HIV,Aleppey,Thiruvananthapuram
lidocaine topical,Gastrointestinal,Pathanamthitta,Wayanad
chlorpheniramine,Cold,Kasargod,Kannur
lisinopril,Hypertension,Kasargod,Kannur
tretinoin topical,Acne,Thrissur,Palakkad
alvimopan,Gastrointestinal,Kottayam,Idukki
diphenhydramine,Cold,Kozhikode,Palakkad
duloxetine,Depression,Kollam,Thrissur
rizatriptan,Migraine,Palakkad,Kannur
elvitegravir,AIDS/HIV,Palakkad,Malappuram
lisinopril,Hypertension,Kasargod,Thrissur
chlorpheniramine,Cold,Kasargod,Thiruvananthapuram
alvimopan,Gastrointestinal,Kottayam,Ernakulam
triamcinolone,Hair Loss,Thiruvananthapuram,Kollam
spironolactone,Acne,Thiruvananthapuram,Aleppey
sertraline,Depression,Kozhikode,Kannur
eletriptan,Migraine,Wayanad,Kollam
elvitegravir,AIDS/HIV,Palakkad,Malappuram
lidocaine viscous,Gastrointestinal,Thrissur,Malappuram
diphenhydramine,Cold,Kozhikode,Palakkad
rizatriptan,Migraine,Palakkad,Kannur
minoxidil topical,Hair Loss,Kollam,Kannur
minocycline,Acne,Ernakulam,Idukki
duloxetine,Depression,Kollam,Ernakulam
losartan,Hypertension,Malappuram,Thrissur
chlorpheniramine,Cold,Kasargod,Palakkad
spironolactone,Acne,Thiruvananthapuram,Kollam
chlorpheniramine,Cold,Kasargod,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,Wayanad
elvitegravir,AIDS/HIV,Palakkad,Kollam
alvimopan,Gastrointestinal,Kottayam,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,Pathanamthitta
spironolactone,Acne,Thiruvananthapuram,Wayanad
lidocaine viscous,Gastrointestinal,Thrissur,Thiruvananthapuram
minocycline,Acne,Ernakulam,Idukki
chlorpheniramine,Cold,Kasargod,Kannur
rizatriptan,Migraine,Palakkad,Kannur
minoxidil topical,Hair Loss,Kollam,Aleppey
emtricitabine,AIDS/HIV,Aleppey,Thiruvananthapuram
lidocaine topical,Gastrointestinal,Pathanamthitta,Wayanad
triamcinolone,Hair Loss,Thiruvananthapuram,Kollam
spironolactone,Acne,Thiruvananthapuram,Aleppey
diphenhydramine,Cold,Kozhikode,Palakkad
alvimopan,Gastrointestinal,Kottayam,Ernakulam
tretinoin topical,Acne,Thrissur,Palakkad
losartan,Hypertension,Malappuram,Idukki
duloxetine,Depression,Kollam,Thrissur
elvitegravir,AIDS/HIV,Palakkad,Malappuram
rizatriptan,Migraine,Palakkad,Kannur
duloxetine,Depression,Kollam,Ernakulam
minocycline,Acne,Ernakulam,Idukki
lidocaine topical,Gastrointestinal,Pathanamthitta,Palakkad
spironolactone,Acne,Thiruvananthapuram,Wayanad
eletriptan,Migraine,Wayanad,Kollam
chlorpheniramine,Cold,Kasargod,Palakkad
alvimopan,Gastrointestinal,Kottayam,Kollam
minocycline,Acne,Ernakulam,Idukki
minoxidil topical,Hair Loss,Kollam,Aleppey
duloxetine,Depression,Kollam,Thrissur
eletriptan,Migraine,Wayanad,Kollam
tretinoin topical,Acne,Thrissur,Palakkad
rizatriptan,Migraine,Palakkad,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,Kasargod
minocycline,Acne,Ernakulam,Idukki
lisinopril,Hypertension,Kasargod,Pathanamthitta
diphenhydramine,Cold,Kozhikode,Ernakulam
bupropion,Depression,Thiruvananthapuram,Ernakulam
spironolactone,Acne,Thiruvananthapuram,Aleppey
minoxidil topical,Hair Loss,Kollam,Kozhikode
doxycycline,Acne,Pathanamthitta,Thiruvananthapuram
alvimopan,Gastrointestinal,Kottayam,Ernakulam
minocycline,Acne,Ernakulam,Idukki
sertraline,Depression,Kozhikode,Kollam
chlorpheniramine,Cold,Kasargod,Kannur
losartan,Hypertension,Malappuram,Thrissur
spironolactone,Acne,Thiruvananthapuram,Kollam
rizatriptan,Migraine,Palakkad,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,Kollam
duloxetine,Depression,Kollam,Ernakulam
