GENERIC NAME,CONDITION,SOURCE,COUNT,MONTH,DESTINATION
minocycline,Acne,Ernakulam,987,February,Idukki
sertraline,Depression,Kozhikode,365,January,Kannur
lisinopril,Hypertension,Kasargod,54,December,Ernakulam
elvitegravir,AIDS/HIV,Palakkad,32,April,Kasargod
triamcinolone,Hair Loss,Thiruvananthapuram,65,December,Wayanad
lidocaine topical,Gastrointestinal,Pathanamthitta,65,February,Kasargod
emtricitabine,AIDS/HIV,Aleppey,789,January,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,5,March,Thrissur
bupropion,Depression,Thiruvananthapuram,654,January,Ernakulam
diphenhydramine,Cold,Kozhikode,320,December,Palakkad
minoxidil topical,Hair Loss,Kollam,654,January,Aleppey
spironolactone,Acne,Thiruvananthapuram,500,January,Kollam
alvimopan,Gastrointestinal,Kottayam,741,December,Ernakulam
sertraline,Depression,Kozhikode,65,September,Wayanad
chlorpheniramine,Cold,Kasargod,654,January,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,654,December,Kollam
elvitegravir,AIDS/HIV,Palakkad,797,January,Malappuram
lidocaine topical,Gastrointestinal,Pathanamthitta,32,October,Kasargod
duloxetine,Depression,Kollam,65,December,Ernakulam
minoxidil topical,Hair Loss,Kollam,6,December,Kasargod
emtricitabine,AIDS/HIV,Aleppey,987,February,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,6,January,Ernakulam
minoxidil topical,Hair Loss,Kollam,654,February,Aleppey
bupropion,Depression,Thiruvananthapuram,32,December,Thrissur
spironolactone,Acne,Thiruvananthapuram,125,January,Aleppey
rizatriptan,Migraine,Palakkad,654,January,Kannur
elvitegravir,AIDS/HIV,Palakkad,25,November,Kozhikode
alvimopan,Gastrointestinal,Kottayam,98,January,Ernakulam
chlorpheniramine,Cold,Kasargod,32,December,Thiruvananthapuram
rizatriptan,Migraine,Palakkad,65,February,Kannur
sertraline,Depression,Kozhikode,321,February,Kannur
eletriptan,Migraine,Wayanad,54,January,Kollam
emtricitabine,AIDS/HIV,Aleppey,987,March,Thiruvananthapuram
lidocaine topical,Gastrointestinal,Pathanamthitta,25,January,Wayanad
chlorpheniramine,Cold,Kasargod,321,February,Kannur
lisinopril,Hypertension,Kasargod,412,December,Kannur
tretinoin topical,Acne,Thrissur,987,January,Palakkad
alvimopan,Gastrointestinal,Kottayam,5,June,Idukki
diphenhydramine,Cold,Kozhikode,546,January,Palakkad
duloxetine,Depression,Kollam,32,March,Thrissur
rizatriptan,Migraine,Palakkad,65,March,Kannur
elvitegravir,AIDS/HIV,Palakkad,587,February,Malappuram
lisinopril,Hypertension,Kasargod,5,December,Thrissur
chlorpheniramine,Cold,Kasargod,32,February,Thiruvananthapuram
alvimopan,Gastrointestinal,Kottayam,654,February,Ernakulam
triamcinolone,Hair Loss,Thiruvananthapuram,62,November,Kollam
spironolactone,Acne,Thiruvananthapuram,58,February,Aleppey
sertraline,Depression,Kozhikode,54,March,Kannur
eletriptan,Migraine,Wayanad,65,February,Kollam
elvitegravir,AIDS/HIV,Palakkad,458,March,Malappuram
lidocaine viscous,Gastrointestinal,Thrissur,654,January,Malappuram
diphenhydramine,Cold,Kozhikode,32,February,Palakkad
rizatriptan,Migraine,Palakkad,652,April,Kannur
minoxidil topical,Hair Loss,Kollam,5,December,Kannur
minocycline,Acne,Ernakulam,654,January,Idukki
duloxetine,Depression,Kollam,321,November,Ernakulam
losartan,Hypertension,Malappuram,544,January,Thrissur
chlorpheniramine,Cold,Kasargod,32,January,Palakkad
spironolactone,Acne,Thiruvananthapuram,537,February,Kollam
chlorpheniramine,Cold,Kasargod,21,March,Kannur
triamcinolone,Hair Loss,Thiruvananthapuram,65,December,Wayanad
elvitegravir,AIDS/HIV,Palakkad,12,September,Kollam
alvimopan,Gastrointestinal,Kottayam,54,June,Thiruvananthapuram
lisinopril,Hypertension,Kasargod,2,December,Pathanamthitta
spironolactone,Acne,Thiruvananthapuram,25,February,Wayanad
lidocaine viscous,Gastrointestinal,Thrissur,55,August,Thiruvananthapuram
minocycline,Acne,Ernakulam,879,March,Idukki
chlorpheniramine,Cold,Kasargod,25,April,Kannur
rizatriptan,Migraine,Palakkad,655,May,Kannur
minoxidil topical,Hair Loss,Kollam,65,March,Aleppey
emtricitabine,AIDS/HIV,Aleppey,987,April,Thiruvananthapuram
lidocaine topical,Gastrointestinal,Pathanamthitta,6,December,Wayanad
triamcinolone,Hair Loss,Thiruvananthapuram,321,October,Kollam
spironolactone,Acne,Thiruvananthapuram,123,March,Aleppey
diphenhydramine,Cold,Kozhikode,564,March,Palakkad
alvimopan,Gastrointestinal,Kottayam,321,March,Ernakulam
