GENERIC NAME,SOURCE,COUNT,MONTH,DESTINATION
minocycline,Ernakulam,987,February,Idukki
sertraline,Kozhikode,365,January,Kannur
lisinopril,Kasargod,54,December,Ernakulam
elvitegravir,Palakkad,32,April,Kasargod
triamcinolone,Thiruvananthapuram,65,December,Wayanad
lidocaine topical,Pathanamthitta,65,February,Kasargod
emtricitabine,Aleppey,789,January,Thiruvananthapuram
lisinopril,Kasargod,5,March,Thrissur
bupropion,Thiruvananthapuram,654,January,Ernakulam
diphenhydramine,Kozhikode,320,December,Palakkad
minoxidil topical,Kollam,654,January,Aleppey
spironolactone,Thiruvananthapuram,500,January,Kollam
alvimopan,Kottayam,741,December,Ernakulam
sertraline,Kozhikode,65,September,Wayanad
chlorpheniramine,Kasargod,654,January,Kannur
triamcinolone,Thiruvananthapuram,654,December,Kollam
elvitegravir,Palakkad,797,January,Malappuram
lidocaine topical,Pathanamthitta,32,October,Kasargod
duloxetine,Kollam,65,December,Ernakulam
minoxidil topical,Kollam,6,December,Kasargod
emtricitabine,Aleppey,987,February,Thiruvananthapuram
lisinopril,Kasargod,6,January,Ernakulam
minoxidil topical,Kollam,654,February,Aleppey
bupropion,Thiruvananthapuram,32,December,Thrissur
spironolactone,Thiruvananthapuram,125,January,Aleppey
rizatriptan,Palakkad,654,January,Kannur
elvitegravir,Palakkad,25,November,Kozhikode
alvimopan,Kottayam,98,January,Ernakulam
chlorpheniramine,Kasargod,32,December,Thiruvananthapuram
rizatriptan,Palakkad,65,February,Kannur
sertraline,Kozhikode,321,February,Kannur
eletriptan,Wayanad,54,January,Kollam
emtricitabine,Aleppey,987,March,Thiruvananthapuram
lidocaine topical,Pathanamthitta,25,January,Wayanad
chlorpheniramine,Kasargod,321,February,Kannur
lisinopril,Kasargod,412,December,Kannur
tretinoin topical,Thrissur,987,January,Palakkad
alvimopan,Kottayam,5,June,Idukki
diphenhydramine,Kozhikode,546,January,Palakkad
duloxetine,Kollam,32,March,Thrissur
rizatriptan,Palakkad,65,March,Kannur
elvitegravir,Palakkad,587,February,Malappuram
lisinopril,Kasargod,5,December,Thrissur
chlorpheniramine,Kasargod,32,February,Thiruvananthapuram
alvimopan,Kottayam,654,February,Ernakulam
triamcinolone,Thiruvananthapuram,62,November,Kollam
spironolactone,Thiruvananthapuram,58,February,Aleppey
sertraline,Kozhikode,54,March,Kannur
eletriptan,Wayanad,65,February,Kollam
elvitegravir,Palakkad,458,March,Malappuram
lidocaine viscous,Thrissur,654,January,Malappuram
diphenhydramine,Kozhikode,32,February,Palakkad
rizatriptan,Palakkad,652,April,Kannur
minoxidil topical,Kollam,5,December,Kannur
minocycline,Ernakulam,654,January,Idukki
duloxetine,Kollam,321,November,Ernakulam
losartan,Malappuram,544,January,Thrissur
chlorpheniramine,Kasargod,32,January,Palakkad
spironolactone,Thiruvananthapuram,537,February,Kollam
chlorpheniramine,Kasargod,21,March,Kannur
triamcinolone,Thiruvananthapuram,65,December,Wayanad
elvitegravir,Palakkad,12,September,Kollam
alvimopan,Kottayam,54,June,Thiruvananthapuram
lisinopril,Kasargod,2,December,Pathanamthitta
spironolactone,Thiruvananthapuram,25,February,Wayanad
lidocaine viscous,Thrissur,55,August,Thiruvananthapuram
minocycline,Ernakulam,879,March,Idukki
chlorpheniramine,Kasargod,25,April,Kannur
rizatriptan,Palakkad,655,May,Kannur
minoxidil topical,Kollam,65,March,Aleppey
emtricitabine,Aleppey,987,April,Thiruvananthapuram
lidocaine topical,Pathanamthitta,6,December,Wayanad
triamcinolone,Thiruvananthapuram,321,October,Kollam
spironolactone,Thiruvananthapuram,123,March,Aleppey
diphenhydramine,Kozhikode,564,March,Palakkad
alvimopan,Kottayam,321,March,Ernakulam
tretinoin topical,Thrissur,897,February,Palakkad
losartan,Malappuram,6,July,Idukki
duloxetine,Kollam,23,May,Thrissur
elvitegravir,Palakkad,879,April,Malappuram
rizatriptan,Palakkad,987,June,Kannur
duloxetine,Kollam,321,October,Ernakulam
minocycline,Ernakulam,548,April,Idukki
lidocaine topical,Pathanamthitta,6,December,Palakkad
spironolactone,Thiruvananthapuram,65,March,Wayanad
eletriptan,Wayanad,654,March,Kollam
chlorpheniramine,Kasargod,32,December,Palakkad
alvimopan,Kottayam,21,January,Kollam
minocycline,Ernakulam,879,May,Idukki
minoxidil topical,Kollam,65,April,Aleppey
duloxetine,Kollam,32,July,Thrissur
eletriptan,Wayanad,987,April,Kollam
tretinoin topical,Thrissur,984,March,Palakkad
rizatriptan,Palakkad,987,July,Kannur
triamcinolone,Thiruvananthapuram,64,March,Kasargod
minocycline,Ernakulam,987,June,Idukki
lisinopril,Kasargod,3,February,Pathanamthitta
diphenhydramine,Kozhikode,32,December,Ernakulam
bupropion,Thiruvananthapuram,65,February,Ernakulam
spironolactone,Thiruvananthapuram,124,April,Aleppey
minoxidil topical,Kollam,30,July,Kozhikode
doxycycline,Pathanamthitta,879,January,Thiruvananthapuram
alvimopan,Kottayam,654,April,Ernakulam
minocycline,Ernakulam,988,July,Idukki
sertraline,Kozhikode,23,December,Kollam
chlorpheniramine,Kasargod,321,May,Kannur
losartan,Malappuram,32,February,Thrissur
spironolactone,Thiruvananthapuram,897,March,Kollam
rizatriptan,Palakkad,64,August,Kannur
triamcinolone,Thiruvananthapuram,321,September,Kollam
duloxetine,Kollam,325,September,Ernakulam
minocycline,Ernakulam,879,August,Idukki
minoxidil topical,Kollam,657,May,Aleppey
spironolactone,Thiruvananthapuram,23,April,Wayanad
lidocaine topical,Pathanamthitta,6,July,Kannur
triamcinolone,Thiruvananthapuram,54,December,Kasargod
tretinoin topical,Thrissur,50,April,Kottayam
lisinopril,Kasargod,21,December,Kollam
duloxetine,Kollam,321,August,Ernakulam
spironolactone,Thiruvananthapuram,15,August,Kottayam
eletriptan,Wayanad,958,May,Kollam
minocycline,Ernakulam,987,September,Idukki
minoxidil topical,Kollam,54,November,Kozhikode
spironolactone,Thiruvananthapuram,458,April,Kollam
alvimopan,Kottayam,5,February,Kottayam
triamcinolone,Thiruvananthapuram,65,November,Kannur
bupropion,Thiruvananthapuram,654,March,Ernakulam
minocycline,Ernakulam,677,October,Idukki
rizatriptan,Palakkad,65,September,Kannur
spironolactone,Thiruvananthapuram,45,April,Kannur
elvitegravir,Palakkad,587,May,Malappuram
alvimopan,Kottayam,67,May,Ernakulam
diphenhydramine,Kozhikode,654,April,Palakkad
losartan,Malappuram,654,March,Thrissur
tretinoin topical,Thrissur,897,April,Palakkad
minoxidil topical,Kollam,65,June,Aleppey
eletriptan,Wayanad,65,june,Kollam
